title,artist,cluster_id
Menuet in the Name of Haydn,Alan Feinberg,15
Parola di faliero,Inoki,18
Las Hermanas Granaditas,Los Nakos,8
Climax,Loop Guru,18
Castle of KoFW,Koordinate Of Wonders,7
The Phantom Of The Opera/Wishing You Were Somehow Here Again,Montserrat Caballé,16
Fuckaz,The Bug Featuring Spaceape,18
Kyotronics,Erik Tronic,10
Peace With Myself,Nestor Torres,18
Y'a d'l'abus,Fred Merpol,8
Ihr hated nur (P-Dog Remix),Hecklah & Coch,4
A Puro Dolor,Roberto Perera,3
Where Does Rosie Go?,Kenny Rogers,11
Politrix,Beenie Man,7
Vine Pa'echar Candela,Ray Barretto,11
Soca Mi Nice,Mongo Santamaria,12
Rock Tha Party,Bombay Rockers,7
When Love Dies,Marlene Dietrich,15
The Christmas Song (Chestnuts Roasting On An Open Fire),Fred Simon,15
Expeditions,From Dying Skies,5
Hit my heart,JK,11
Dengoso,Turibio Santos,3
What Is This,Perfection,2
Like A Hurricane,Eddy Raven,12
Ghosts_ Second Variation,Albert Ayler,5
Revitalise,Dub Pistols feat. TK,5
Menutha,Tony Joe White,3
Olivia,Shinehead,4
Firehouse Rock,Wailing Souls,11
Why Wouldn't I (featuring Fabolous & Paul Cain),DJ Envy,19
She Will Love You (Album Version),Aiden,1
Un nuevo amor (version salsa),Tranzas,7
Silent Partner (Peace Out),Steinski,0
One King (Album Version),David Phelps,10
Time Travel,Klaus Badelt,10
The Poet And The Pendulum,Nightwish,13
Boomerang (Reprise),Cirrus,10
The Imperial March from The Empire Strikes Back,John Williams,3
Morning Glow,Michael Jackson,11
Down On My Knees,Ayo,4
Matilda Mother (Stereo) (2007 Remaster),Pink Floyd,3
Lies,Pennywise,2
The Wedding Samba,Edmundo Ros,9
Slavinka,Edgar De L'est,10
Hispaniola A,Pheeroan Aklaff,14
Supreme Girl,The Sterns,1
In My Bed,Amy Winehouse,18
Mr Big Man,Junior Reid,4
Stop The World And Let Me Off,Patsy Cline,6
Cendrier,Java,4
Tumba Randy,Anthony Blea Y Su Charanga,18
La Traviata - highlights (1990 Digital Remaster): Ah_ non più (Alfredo/Violetta),Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,16
Playing In The Dirt,Joanna Connor,19
Nastaran,Mohammad Nouri,6
Thank You,Saga,15
Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),Dilated Peoples Featuring Capleton,7
Its Cool,Walter Jackson,5
Purple Pygmies,Walter Ego,8
Chega De Sausade,Elizete Cardoso,8
This Is A Gang,CMW - Compton's Most Wanted,17
Voyagers - Improvisation 12,R. Carlos Nakai,15
Gözlerinde Hüzün,Tayfun,10
Any Way You Want Me To,Jamie Richards,3
Nu Ren Ben Se,Sammi Cheng,5
Big John's A-Blowin',Big John Greer,5
In Progress (Original Mix),Trentemoller,14
Say A Little Prayer,Mary Black,5
Soldiers At War feat. Kon Juan_ Big Scoob_ Short Nutty_ L.V.,Tech N9ne,4
Papi Chulo (Extended Mix),Lorna,5
In John Fahey There Is No East or West (feat. John Doan),John Doan,8
Unholy Outburst #3,Ramesses,10
Clavelitos,Charanga de la 4,7
From Tense To Loose To Slack,The Keys,2
He That Dwelleth (Psalm 91) (In My Dreams Album Version),Daryl Coley,7
Harder To Breathe,Maroon 5,5
Disco Jonki,Dusminguet,12
You Better Look Out,Johnny Otis Show,7
I Like Young Girls,Love Jones,3
Another World (Album Version),Richard Hell & The Voidoids,3
Drop The Hammer,The Gone Jackals,2
Quand on est amoureux,Les Hou-Lops,12
Superconstellation,:Blacks On :Blondes,14
Hard Times,Eastmountainsouth,3
Tears Falling Down,Charlie Peacock,12
My Heart's Desire,Kane,8
Flipside,Bomb Squad,7
Softcore,V'ro,18
Ragoo,Kings Of Leon,5
Youth Club Dance (Demo),The Cortinas,1
Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,9
Pi Jiu Pao Pao (Beer Bubbles),Steve Chou,10
Baila Girl_ Todo Hombre Llorando Por Ti,Daddy Yankee,4
Little Latin Lupe Lu,Righteous Brothers,11
Party,Rodney O & Joe Cooley,17
El Greco: Movement III,Vangelis,9
Stinky Breath,Blingtones,17
Rain Down On Me,Kane,2
You'll Know Where Your Plane Is... (Part 4),Why?,7
Vad två öron klarar,Kent,10
Revolver [Tracy Young's Shoot To Kill Remix],Madonna,14
22 (Acoustic),Lily Allen,3
The Air Force song : Evening colors sequence,The Sun Harbor's Chorus-Documentary Recordings,0
En Algún Rincón,Café Quijano,7
El Gran Señor,Los Auténticos Decadentes,5
Nino ven pa'ca,Juan Carmona,18
Hey Joe,Roy Buchanan,10
The Way I Am,Eminem,5
Forming,The Germs,2
Mafuá,Yamandu Costa,3
Driving Home For Christmas,Chris Rea,3
Wicker Chair,Kings Of Leon,12
Movement 4 [from Kiss] (Album Version),John Cale,3
Tous Les Garçons Et Les Filles,Eurythmics,12
Make Me Over,Vickie Winans,5
Spooks In Space,Perrey And Kingsley,4
Deform (live),The Berzerker,1
Stream,Suzanne Ciani,9
Too Much Saturn,Francis Dunnery,8
An ti chans',Edith Lefel,12
Caricia Y Herida,Flor Silvestre,11
I'm Gone This Time,Glen Campbell,5
Hourglass,Borialis,12
Wake,The Dirty Skirts,2
She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,10
Monde De Fou,Suburbs,12
Commercial Reign,Inspiral Carpets,1
It's My Party,Lesley Gore,11
Next Time,Nadine Renee,7
Indian Love Call,Slim Whitman,16
Metal,Nine Inch Nails,3
You Can Still Be Free,Savage Garden,8
Complicate It,Smartbomb,12
This Melody (Live),Julien Clerc,10
Let's Get It Started,Black Eyed Peas,4
You Feel Good All Over,T.G. Sheppard,3
Dixie,Hank Penny & The Lincoln Penny Orchestra,11
Opus a Satana (Part 2),Emperor,2
I Never Came,Queens Of The Stone Age,18
Hai Shava,Malkit Singh,7
Until You Love Someone,Dean Martin,6
The Owl and the Pussy-cat,Igor Stravinsky,16
Nutty Block,Rodney O & Joe Cooley,4
Hello Young Lovers (LP Version),James Darren,8
Quiero Ir Ao Mar,Carlos Nuñez,2
Same Man,Till West & DJ Delicious,7
Set You Free This Time,Gene Clark,3
Part One From Triomusic,Strata,16
Superconfidential,Clp,14
The Emperor Falls,John Wesley,10
Spanish Grease,Willie Bobo,7
It Makes No Difference Now,Billie Jo Spears,11
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),7
¿Dónde va Chichi?,Sierra Maestra,19
Crazy Mixed Up World,Faye Adams,6
Do You Finally Need A Friend,Terry Callier,8
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,2
James (Hold The Ladder Steady),SUE THOMPSON,18
Setanta matins,Elena,18
Twist and Shout,The Shangri-Las,3
Made Like This (Live),Five Bolt Main,2
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2
Sudanese Dance,Xcultures,12
I Will Love Again (JJ's Club Radio),Taras,2
Entre Caníbales,Soda Stereo,10
Stickin In My Eye,NOFX,2
Ota kiinni,Murskahumppa,2
Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,10
Wanna Be A Player,Heavy D / McGruff,17
Rosemary Recalls,Bruce Rowland,16
Panama (Remastered Album Version),Van Halen,2
Simon's Folly,Dharma Bums,1
Groovin' In The Midnight,Maxi Priest,5
Christlike Roche,The Roches,8
You Rascal You,Bob Margolin,18
Crawl Before You Ball (Album Version),Saafir,7
In This Life,Cama,18
Cowboy Ways,James Hunter,7
Medicate Myself,The Verve Pipe,19
Kolomeyke,Mish Mash,11
Sympathy,Thomas Battenstein,18
More And More  (LP Version),Marvin Sapp,7
Biding Her Time,Bob Neuwirth,8
Brasas Vivas,Nelson Ned,10
They Say (Album),Jupiter Rising,7
When Morning Comes To Town,The Field Mice,3
Carpe PM,The Secret Life of Teenage Girls,12
Freedom Enough (From Silent Mother Nature),Catherine Howe,3
Love's Been Good To Me,Carl Belew,11
Wounded Hearts,Sandi Thom,2
Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,8
Who Shot Ya (Amended Album Version),The Notorious B.I.G.,4
Poor Tom (Album Version),Led Zeppelin,12
Intro,Gertrudis,2
The First Noel,Carl Doy with NZSO,9
Terapia De Amor Intensiva,Soda Stereo,3
Empress So Divine,Warrior King,7
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),7
Haunting,LORE,10
Spanish Shuffle (Album Version),Tam Tam Go!,19
Musical Episode,Horace Andy,4
Infidel,Delta 9,9
Lies Of Hate,Soul Asylum,2
Drop the Bass,The Nightraver & The Magican,7
Beautiful Brown eyes,Jimmy Wakely,3
English Summer Rain,Placebo,2
A B***** Is A B***** (Edited),N.W.A.,4
Murder Academy,Ultraviolence,12
Never Forget Me,Bone Thugs-N-Harmony / Akon,12
Amber Changing,Rise Against,1
Ukkosenjumalan poika,Moonsorrow,1
I Need You Now,Agnes,19
Hey Daddy,Korn,2
Kick Out The Jams,Rage Against The Machine,2
Pecado De Amor,José Augusto,10
4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,9
Me And My Buddy,Jazz Gillum,0
Illuminate,Orbital,12
It Goes On,20/20,10
All Rise,Scott Wesley Brown,10
Silent Hill,Moss,2
Charisma,Sven Tasnadi,14
(We Don't Need This) Fascist Groove Thang,Heaven 17,19
Para Milladoiro,Susana Seivane,2
Jogo Limpo,Flávio José,12
Drunk Alone,React,1
Going Down Slow,Mance Lipscomb,6
Stone Cold Fingers (Bonus Track),Leland Martin,3
Our Love Is Here To Stay,Pery Ribeiro,3
Snowball,Test Icicles,5
Teacher's Pet,Extreme,12
Walk Away,Tantric,12
Shadows That Move,Mastodon,1
Kite Live from Sydney,U2,3
Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,18
Atmosphere Station,James Horner,15
Moon River - Original,Jerry Butler,3
Ever Be,Korn,2
Palmer enquête,Alexandre Desplat,8
La Plus Bath Des Javas,Yvette Horner,11
Loco (Crazy),Little Joe,3
Smile,Xcultures,8
Mountains Of Mourne,The Irish Tenors,0
Yesterdays,Percy Faith,6
Go To Hell,Prozak,7
Keepin It Real (Skit),Rated R,0
Young Boy Blues,JennyAnyKind,2
Drop of Rain,Tweeterfriendly Music,8
I Didn't Mean To,Casual,4
Face the Ashes,Gob,1
Pink World,Planet P Project,2
Insatiable (Instrumental Version),Clp,14
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,3
Something Girls,Adam Ant,12
Soul Deep,The Box Tops,5
Amor De Cabaret,Sonora Santanera,11
Letter To Heaven,Dolly Parton,6
Heaven is Where The Heart Is,Rance Allen Group,8
No Control,Eddie,7
Lend Me Your Chopper,Johnny Osbourne,7
Christmas In Jamaica,Toni Braxton Featuring Shaggy,7
Mozart,Suzanne Ciani,9
Ciao Milan,Milan Band,19
The Vitalized Shell,Enthroned,1
2190 Dias Contigo,Sven Tasnadi,17
Gossippo Perpetuo,Perrey And Kingsley,12
End Of The Road (Head Hornys Remix),Bandido,14
Summer Dying Fast,Cradle Of Filth,2
Cooler Than You,Diesel Boy,2
7 Miles,Brixx,2
Snapshot,Ladybug,14
Taryns Deepest Fear,Angelo Badalamenti,8
The Frail,Nine Inch Nails,9
Still,Jim Chappell,15
Caught In A Dream,Tesla,2
Kassie Jones,Alice Stuart,11
La Culpa,Andy Andy,18
High Tide,Richard Souther,18
Floating,Blue Rodeo,10
Auguri Cha Cha,Bob Azzam,11
Tonight Will Be Alright,Lionel Richie,12
Synthetic Dream,lextrical,3
Broken-Down Merry-Go-Round,Jimmy Wakely,16
Sohna Nee Sohna Data,Faiz Ali Faiz,7
The Urgency (LP Version),Wayne Watson,19
Master Of Disharmony,Dimmu Borgir,1
(This Is Not A) Love Song (Live),Public Image Ltd,12
Perasmena Mesanihta,Dakis,11
What Are We Here For,Gary Moore,12
Everything Changes,Soular,10
Forever,Chris Brown,18
Wig,The B-52's,12
Sun Is Shining,Deekline & Wizard,14
New Age,Daniela Dessì,9
God Save the Queen (Live),Sex Pistols,2
Une petite pause,Pascal Sangla,8
Ftei O Erotas,Angela Dimitriou,5
Give It What U Got,SWAMI featuring Asuivre,5
Dancing To A Standstill,The Black Velvet Band,2
Hoochie Coochie Man,The Jeff Healey Band,19
Don't Phunk With My Heart,Java,12
Isla del Luna,Lisa Lynne,18
The Second Summer Of Love,Danny Wilson,12
Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,3
Leng Jing,Stephy Tang,8
Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,6
Another Long One,Shawn Colvin,19
Spirit,Pe'z,5
Oh My God,Sticky Fingaz,4
Filipino Baby,Hank Locklin,6
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,3
Pinned To The Ground (album version),Buzzhorn,2
Someone to Watch Over Me,Frank Chacksfield,16
Escapist,Nightwish,1
The Boss,Lady May,4
Hard Times,RUN-DMC,17
Just As Much As Ever,Bert Kaempfert And His Orchestra,11
Myth Takes,!!!,18
Jeffrey's Dark Side,Angelo Badalamenti,9
Always And Never (Album Version),Silverstein,1
Will You Love Me Tomorrow,The Shirelles,10
Bloco Da Solidao (1996 Digital Remaster),Maysa,8
Northern Downpour (Album Version),Panic At The Disco,3
Exchange,Abraham Laboriel,5
Stille nacht_ heilige nacht,The American Boychoir,16
Bad Seed,Jan Howard,9
Nine Ways,JDS,14
Marie D'Aquitaine,Michèle Arnaud,6
Three Is a Crowd,Rory Block,3
Cheatin' In The Next Room,Tyrone Davis,18
On Bended Knee,Boyz II Men,18
I Can't Stop Loving You,Martina McBride,8
Niev nietch nievitch,Les Ogres De Barback,11
Blue Taxi,Morel,19
Come Over,DJ X-Change featuring DJ Joey A,4
Thank You Lord,Horace Andy,6
Little Girl (LP Version),Donny Hathaway,8
My Four Reasons,Howard Armstrong,5
How Can You Call That Beautiful (Stewkey Vocal),Nazz,19
Eternamente Amame,Miguel Gallardo,3
White Feather,Wolfmother,10
Candy Man,Hot Tuna,12
I Want Love (Tween You & Me) (Album Version),Tony Joe White,18
I See The Boys Of Summer,Richard Burton,15
(Bloody Paw On The) Kill Floor,Busdriver,7
Miracle,Bizarre Inc,19
