title,artist,cluster_id
Love Shines Through  (Dream Album Version),Michelle Tumes,10
"non-existent track (part one: \"why don't you fuckin' remember anything ?\")",Aphasia,10
Jane 5,EPMD,4
Friends Of All Races,Rocky Whatule,18
White Jetta,Casiotone For The Painfully Alone,8
Canon In D Major (J. Pachelbel),Mariano Yanani,9
Two Guitars Shuffle (take 1),Lonnie Brooks,11
Till There Was You (John Creamer & Stephane K Remix),Rachael Starr,14
What If I Forget The Champagne,Stanley Clarke,3
A história do incêndio do jequitibá de Carangola (Part 1),Hélio Ziskind,8
Meteor Of War (Album Version),Rancid,1
Arise_ My Love (Song Of Solomon),Michael Card,9
Kangaroo Blues,Moon Mullican,0
Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes,8
Listen,Mykill Miers,4
Salvation,Chroma Key,3
Shame,Anna Abreu,5
I Love No One But You,Don Gibson,8
In Fate's Hands (Album Version),The Red Jumpsuit Apparatus,12
Elementro,TEN MADISON,14
Angry Chair,Alice In Chains,1
Vietnamese Baby,The New York Dolls,2
Nadal De Luintra,Berrogüetto,3
Que Ves Por Tu Ventana,David Saylor,19
Spawn (Again),Silverchair,12
Bring Out Your Dead,Cadacross,1
Life is Love,NO-TONE ft.Inusa,14
The Modern Rome Burning,Anti-Flag,5
Smith & Wesson,Frenchy,7
Talking During Sex (LP Version),Martin Lawrence,0
Tu Quieres Volver,Gipsy Kings,3
Cable,Languis,8
Get 'em,Redman / Saukrates / Icadon,4
Tu Vuo_ Fa_ L_ Americano,Rita Chiarelli,8
Intro/Whatcha Gonna Do about It,Humble Pie,2
Dragonfly,Connemara Stone Company,2
High Horse,Workhorse,3
Bodyfly (Dynamix original version),Dynamix,14
Calm Down Dad,Helen Love,5
Bigbigkiss,Helen Love,1
Intro,DJ Clue / P. Diddy,0
Stop That Thing,Sleepy John Estes,6
To Go Home,Daniel Johnston,9
Brampton To Roadhead,Gathering,8
Duh Duh Da,Lidell Townsell,5
Walking To Jerusalem,Tracy Byrd,10
Romanza,Hard Romantic,9
Drumroll (We're All Thirsty),P.O.S,12
September Song,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,16
Don't It (make Your Troubles Seem Small) (Album Version),Soul Asylum,1
Own Me,The Frequency,18
The Other Side Of That Hill,Barbara Fairchild,7
Morghe Eshgh,Mohammad Nouri,9
Sista,City High,5
Watch The Sunrise [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Big Star,2
Me vuelves loco,Caballo Dorado,12
Someday (I Will Understand),Britney Spears,9
Das ist mein Viertel,Eko Fresh feat. Capkekz,7
Fall Line,Jack Johnson and Friends / Matt Costa,3
Xin Bu Liao Qing,Fiona Sit,10
Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Fabolous,4
Gaya's Dream,The Gathering,1
Nothing Matters Anymore,Showbread,1
The Pig,Showbread,10
Anyone Who Had A Heart,Cal Tjader,8
Wings Off Flies (2009 Digital Remaster),Nick Cave & The Bad Seeds,4
Working On The Highway,Bruce Springsteen,12
Fortunate Fool,Jack Johnson,4
I'll Be Glad,Elvin Bishop,7
