title,artist,cluster_id
The Trolley Song (Live Album Version),Eddie Cano,3
Get Up & Go,Chet Atkins,11
Acension Final Chord Rising,Terry Riley,15
French Touch,Richard Galliano,6
56 Days,Pride Tiger,2
Ni Gota De Rencor,Pablo Montero,7
Sublime Ensoñacion,Barbarito Diez,5
Maria,Papa Wemba,5
Bubblegum,Helen Love,19
Come To Find Out,John Hammond,8
Airheads,Sweet,2
Victim Of Circumstance,Ten Years After,2
Daughter Of Zion,Winston Reedy,4
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,5
Hungarian Dances_ WoO 1: No. 12 in D Minor: Presto,Bamberg Symphony Orchestra and Hans Swarowsky,9
Siyabonga (Unreleased Bonus Track),Zimbabwe Legit,7
I Want It,Zombie Girl,10
Strange Thing,Buzzcocks,1
Rotting Fumes,Hemdale,1
Blaue Matrosen (live),Der Moderne Man,5
I Live to Be Hated,GG Allin,1
Ma Rainey's Black Bottom,Ma Rainey,6
Journey To Love,Stanley Clarke,8
Alguna Vez,La Portuaria,2
It's Not Me,3 Doors Down,5
Chariots Of Fire,Dino,9
The Majesty Of Rock,Spinal Tap,1
Revelations,Jesse Malin and The St. Marks Social,2
Fausse monnaie,Gus Viseur,6
El Cara Bonita,Mercedes Castro,11
Slip Out The Back (Album Version),Fort Minor (Featuring Mr. Hahn),18
Banana Man,C.J. Chenier,3
Liquid Frequencies (liquid Soul Mix),liquid soul & freq,14
Be Good To Me,Sonny Terry & Brownie McGhee,11
Answer In The Question,MxPx,1
Ye That Tempteth_ Ye That Bequeth,Enslavement Of Beauty,2
Chocolate,Snow Patrol,2
Lonesome Road (1995 Digital Remaster),Dean Elliott And His Big Band,7
Hel Vete,Finntroll,1
If I Run,Semisonic,2
Maybe I'm Crazy (Single original version_ 2008 Digital Remaster),Laid Back,2
Melodioso,Tom Barabas,3
Heart Of The City (Soul and R&B),Willie Clayton,19
Guardian Angel,Novaspace,3
Half The Fun,Snow Patrol,1
Ruby D.,Les Sexareenos,1
Consuelate Como Yo,Los Van Van,5
On The Brink,Dinosaur Jr,2
Damit Du Dich in mich verliebst,Lara,3
Drive By Music,Outerspace,4
